"budget","revenue","vote_average","runtime","popularity"
115000000,924317558,6.3,136,54.035265
135000000,585178928,6.8,98,64.183321
97250400,132900000,5,116,20.344364
115000000,77628265,5.8,134,18.714197
115000000,164602163,6,114,60.467984
125000000,477200000,5.8,101,143.350376
105000000,716392705,7.3,91,110.153618
116000000,178127760,5.7,108,16.90444
135000000,245623848,5.8,112,39.873791
120000000,167977596,4.4,100,38.126095
110000000,574480841,6.3,108,48.780039
110000000,470490832,6,114,100.412364
110000000,333011068,6,119,42.887121
110000000,215294342,6.8,165,23.657284
110000000,362744280,6.4,125,76.840712
110000000,478207520,6.5,120,44.635452
110000000,295238201,6.2,119,103.718387
116000000,1.02e+08,7,170,45.616098
112000000,237382724,4.9,85,22.845143
120000000,227817248,5.5,119,31.703608
110000000,337580051,6.1,102,71.510596
110000000,563749323,5.5,103,36.65422
110000000,103951461,5.7,76,19.625972
110000000,179246868,5.9,121,86.105615
110000000,299268508,6.6,127,37.195046
105000000,347434178,5.5,105,32.473628
160000000,164508066,4.1,121,23.336875
110000000,125537191,6.6,114,45.94834
110000000,383531464,6.4,128,48.93337
93000000,871368364,8,178,138.049577
110000000,72178895,5.7,120,22.643776
107000000,87713825,6.7,157,18.866672
0,0,4.9,82,18.251129
120000000,347234916,6.7,115,95.914473
130000000,211643158,6.6,144,44.490453
133000000,300135367,5.8,84,30.475297
105000000,267045765,6.7,97,62.479574
108000000,630161890,7.6,141,167.93287
126000000,162949164,6.5,136,37.68056
90000000,10372291,3.7,104,1.004579
90000000,237202299,6.1,118,52.995628
103000000,457640427,7.9,155,95.301296
102000000,358372926,7.1,145,65.948959
100000000,876688482,7.4,161,132.397737
150000000,599045960,7.3,144,88.935165
100000000,362211740,5.6,119,51.188633
100000000,5.2e+08,7.7,137,101.74155
80000000,214104620,6.5,140,33.691694
100000000,266465037,7.4,157,42.361215
115000000,378882411,6.8,141,38.729418
100000000,150166126,6.2,106,40.597856
100000000,310650585,5.4,98,32.389353
100000000,170432927,6.1,107,24.399642
100000000,242295562,5.6,115,24.507987
100000000,425368238,7.8,165,82.121691
100000000,100138851,6.8,91,46.727941
100000000,169327687,7.2,78,51.113717
100000000,312573423,6.1,103,53.732892
100000000,347451894,6.4,131,58.849256
100000000,249288105,4.9,104,30.863434
100000000,100086793,6.4,101,31.586215
100000000,268426634,6.4,102,36.711378
100000000,278731369,6,103,41.426678
100000000,211989043,5.5,121,20.652943
100000000,170877916,7.3,143,52.792678
100000000,392000694,7.9,180,95.007934
100000000,336529144,5.2,121,48.205606
105000000,121214377,6.7,129,58.782359
102000000,130482868,6.6,172,73.872343
80000000,140073390,6.5,97,37.321848
100000000,82102379,4.2,104,32.271938
100000000,243400000,5.6,99,76.842247
140000000,109578115,7.2,95,38.924136
100000000,68688831,5.3,102,19.38841
90000000,206172544,6.1,127,61.025639
105000000,133718711,5.5,114,33.507289
84000000,0,3.6,94,17.815595
100000000,93820758,6.5,122,50.767332
100000000,7103973,4.4,95,12.092241
100000000,94882889,6.4,115,30.254021
99000000,246233113,6.5,88,34.308098
10000000,13835130,7.1,110,3.091077
98000000,433013274,6,130,41.862983
100000000,193772504,7.1,167,46.160048
94000000,95311434,7.1,145,12.516546
85000000,149044513,5.9,85,23.230851
90000000,1.02e+08,5.4,93,19.224754
92000000,172989651,7.2,144,44.455166
0,104907746,5.6,85,16.460356
90000000,263920180,7.3,126,109.528572
100000000,288347692,5.4,146,18.325897
95000000,76432727,7,89,37.054554
95000000,877244782,6.2,88,65.229868
95000000,543514353,6.7,105,101.187052
65000000,93525586,6.6,136,29.257137
94000000,940335536,7.6,100,85.688789
94000000,1118888979,8.1,201,123.630332
79000000,926287400,8,179,106.914973
95000000,114178613,5.2,102,63.628459
115000000,274703340,5.7,100,41.498631
100000000,103039258,5.9,119,58.991388
93000000,368780809,5.7,92,1.859364
93000000,482860185,7,105,138.433168
90000000,162839667,6.3,95,21.436682
92000000,304654182,5.2,98,65.402595
145000000,25819961,5.8,137,10.660441
92000000,631442092,7.4,115,77.817571
98000000,10017322,5.7,119,7.029308
95000000,226497209,6,118,61.121717
90000000,589390539,6.9,98,104.121555
90000000,497366869,7.3,92,73.575118
100000000,167805466,6.3,98,37.698465
90000000,347325802,6.4,90,35.814765
100000000,155464351,6.3,130,15.835672
100000000,242988466,6.5,90,46.781182
90000000,886686817,6.5,94,69.457898
90000000,188133322,7,114,43.348022
92000000,264105545,5.6,98,40.20395
90000000,289847354,7.9,151,63.429157
90000000,304320254,7.6,88,67.427755
92000000,188072649,6.5,107,43.192048
90000000,232617430,7.2,158,47.651083
90000000,366101666,6.9,128,51.881077
90000000,524028679,7,128,57.834787
100000000,94061311,5.3,125,29.608322
120000000,186053725,6.7,95,51.548589
0,233755553,5.8,92,27.867368
75000000,200276000,6.7,121,38.832842
90000000,201596308,5.5,113,40.597344
88000000,243637091,5.6,105,140.849495
100000000,235926552,6.8,146,34.035114
90000000,182290266,5.2,99,16.302378
90000000,171120329,7.2,150,55.249434
95000000,190213455,5.6,112,28.200874
80000000,162944923,6.2,128,18.69984
90000000,174578751,5.9,106,40.262261
95000000,156505388,5.5,117,56.811056
90000000,334901337,6.7,129,51.535701
68000000,118063304,5.9,116,20.913852
92000000,143049560,6.8,126,27.166757
90000000,60874615,5.7,114,16.058284
90000000,484635760,6.5,96,46.200042
100000000,93700000,6.9,131,24.939295
90000000,0,5.2,104,19.836124
90000000,140807547,5.9,107,15.350451
100000000,35168966,6.1,138,15.625949
20000000,79114085,6.6,129,31.802807
88000000,108539911,7.3,144,24.100863
90000000,16178959,5.4,110,3.593349
87000000,148336445,6.7,141,14.824166
92000000,494471524,6.1,113,32.079995
90000000,429632142,7.5,143,57.739713
100000000,384335608,5.9,108,37.272385
75000000,288500217,7.2,108,53.213931
85000000,315156409,6.2,124,36.38795
85000000,450717150,7.2,116,60.929352
75000000,132274484,5.6,110,36.605246
85000000,358375603,6.8,91,56.257411
85000000,340487652,6.6,107,29.21998
85000000,208076205,6.3,115,34.773106
85000000,183611771,5.1,100,9.895061
75000000,152930623,5.8,104,36.743324
85000000,194168700,6.7,136,44.967453
90000000,250649836,6.7,132,41.207568
85000000,219103655,6.2,121,16.479851
85000000,311312624,6.5,122,42.069993
85000000,197309027,6.1,83,26.61951
85000000,288747895,6.9,139,80.316463
68000000,96976270,7.2,131,41.273567
85000000,80916492,6.4,104,24.107835
85000000,137298489,6.1,130,32.044191
85000000,162242962,7.3,145,16.595874
85000000,158468292,6.1,104,8.282876
0,0,6.7,97,19.83683
90000000,142940100,6.9,178,36.069611
85000000,78382433,5.5,108,18.827753
0,37823676,7.3,123,5.159407
85000000,183018522,5.5,106,48.126297
60000000,47664559,7.2,112,38.885195
60000000,74208267,5.4,136,29.211255
84000000,123307945,4.7,106,17.783361
84000000,275650703,5.4,88,31.435539
50000000,41037742,6.6,95,57.673932
82500000,237681299,6,107,41.176631
8000000,21028755,6.7,120,13.661289
85000000,112483764,4.9,82,11.77398
85000000,222231186,5.9,88,21.218
85000000,160388063,6.5,120,58.57976
65000000,84785914,7.3,157,51.970905
82000000,96085477,5.7,123,18.447479
80000000,484572835,6.4,101,109.684788
80000000,274470394,6,103,77.580661
80000000,457696359,6.7,110,75.290998
75000000,691210692,6.9,142,68.550698
80000000,254455986,6.2,102,58.040149
80000000,2.8e+08,6.6,126,59.113174
80000000,343397247,6.3,83,36.32705
80000000,145771527,7.1,85,55.659988
85000000,1.44e+08,5.8,97,14.132583
75000000,140464664,5.9,120,34.070054
84000000,0,6.4,116,44.34333
82000000,190320568,6.2,113,26.065735
75000000,342695435,5.4,87,23.473004
80000000,246984278,5.8,100,45.589568
80000000,230685453,6,110,23.496054
80000000,266728738,6.3,128,16.939441
80000000,294804195,7.8,138,81.914696
80000000,163733697,5.3,88,19.500893
75000000,260696994,6,91,29.558157
80000000,245676146,6.8,138,46.075037
80000000,212874442,5.9,99,23.531721
80000000,181001478,7.3,117,49.078546
80000000,214918407,6.3,117,37.02665
75000000,224012234,6.5,115,45.154631
80000000,178066569,6.3,118,46.887983
79000000,173013509,6.7,154,24.598479
80000000,157107755,6.6,118,32.363538
80000000,177977226,5.3,93,11.50396
80000000,91188905,5.2,113,19.375768
80000000,250200000,6.5,88,36.125715
0,0,5.6,93,25.450534
80000000,233093859,5.2,104,41.890722
75000000,136982834,6.5,135,22.179658
68000000,211817906,7.4,135,139.575085
70000000,1.64e+08,5.6,98,18.264635
80000000,201584141,5.2,80,11.187696
80000000,122563539,7.4,83,41.670544
80000000,169852759,5.3,102,27.46264
80000000,136159423,5,130,17.455024
80000000,96105964,6.2,129,21.394281
0,0,8,117,0.605645
80000000,473226958,6.7,89,61.692197
80000000,90874570,7,74,14.530946
80000000,123729176,5.8,96,25.978555
90000000,0,5.9,114,6.643778
102000000,147080413,6.1,99,36.788745
75000000,142400065,5.9,129,31.054334
85000000,71485043,6.8,113,21.891078
85000000,0,5.2,90,18.335992
88000000,105316267,5.6,118,40.138009
70000000,101371017,6.1,106,44.090535
0,0,6.4,81,3.300061
0,43312294,6.7,117,20.632673
80000000,122444772,5.9,89,36.664991
80000000,34566746,6.9,145,18.26121
80000000,159212469,5.8,115,16.681269
80000000,126546518,5.2,87,10.088006
44000000,21400000,3,118,7.89147
80000000,68514844,5.6,90,16.715631
80000000,53825515,5.1,112,9.357734
80000000,19480739,5.4,116,11.22268
80000000,17626234,6.1,177,14.564667
90000000,69131860,5.2,92,11.356079
90000000,146936910,5.7,106,52.612025
80000000,33463969,5.4,106,13.800656
86000000,107944236,6,94,27.097932
0,19406406,7.3,84,10.706613
80000000,5989640,4.8,110,7.342892
130000000,117831631,5.2,105,50.561849
8000000,0,5.3,89,0.719996
60000000,313542341,7.7,135,59.248437
45000000,788241776,8,89,90.457886
79000000,355692760,5.8,94,40.723459
78000000,248384621,6.4,95,41.247402
78000000,209196298,6.7,124,10.083905
100000000,108103450,6.5,136,16.759252
79000000,149673788,4.1,91,22.132418
76000000,236350661,6.2,107,10.520961
64000000,97571250,7.6,92,35.384423
80000000,15071514,5.7,99,15.673154
76000000,35134820,3.9,88,8.981427
75000000,875958308,5.9,87,31.482872
78000000,179265204,5.7,110,47.436675
76000000,970761885,7,98,136.886704
75000000,816969268,6.7,145,60.442593
73000000,229074524,6.2,129,2.502487
75000000,532680671,6.6,86,48.110909
76000000,69959751,7.4,109,35.387874
75000000,296339527,6.8,104,4.66891
75000000,258270008,6.4,110,73.82289
75000000,335062621,6.9,136,51.469576
80000000,660940780,6.5,91,85.115058
75000000,196482882,6.6,99,61.437586
50000000,90450008,6.5,117,31.160542
80000000,78000586,4.7,114,15.761384
75000000,0,4.3,78,17.561955
75000000,117698894,7.3,115,71.124686
80000000,271430189,6,102,38.864027
60000000,219417255,7,128,57.753914
35000000,73034460,5.7,100,13.25753
75000000,215663859,5.9,124,13.318744
75000000,119000410,6.5,102,18.70031
75000000,367275019,5.8,90,47.094369
70000000,154937680,6.6,134,14.486311
53000000,95226116,5.4,118,18.61472
70000000,130358911,6.9,164,29.035222
70000000,85632458,6.4,121,27.055085
75000000,98159963,5.7,100,23.004607
75000000,108145109,7.1,116,48.744209
80000000,55041367,5.8,130,14.209329
75000000,140175006,6.3,91,36.368839
75000000,67631903,6.2,123,24.353302
55000000,127600435,5.9,134,19.143321
75000000,0,6.4,148,13.327372
75000000,226904017,5.7,110,37.917002
52000000,77944725,6.2,113,23.663713
75000000,36754634,6.3,94,14.44381
75000000,51142659,5,116,10.605084
75000000,14567883,6.1,99,11.873856
0,5802422,5.8,84,12.708963
75000000,5409517,4.3,93,8.098369
45000000,21009180,5.7,113,20.374308
75000000,248118121,6.9,106,42.006908
74000000,1156730962,6.4,91,875.581305
82000000,89792502,5.9,110,39.127082
73000000,103891409,5.8,98,20.790703
75000000,13100000,5.8,134,18.65988
73000000,349779543,5.9,97,45.720894
70000000,111231041,5.4,112,21.789615
75000000,61458982,5.7,146,20.199057
70000000,86658558,6.5,110,26.123705
72500000,162966177,6.2,116,12.599836
70000000,176104344,4.9,87,13.543053
72000000,2.1e+08,7.7,177,60.722162
72000000,96889998,6.6,125,32.227223
75000000,527068851,6.9,87,46.875375
72000000,37317558,6.6,152,11.215702
94000000,54744738,4.5,116,8.468586
74500000,62172050,6.9,109,8.884318
60000000,256697520,6.2,108,27.491891
71000000,294456605,5.4,85,21.462935
72000000,408247917,6.4,106,28.848187
150000000,919838758,6.7,93,47.320801
120000000,461983149,6.6,117,82.643036
70000000,309457509,5.7,116,20.230535
70000000,277448382,5.8,124,46.217769
74000000,311594032,5.8,93,36.952268
80000000,309492681,6.4,117,16.411345
70000000,319131050,7.9,153,72.595961
70000000,300854823,6.6,144,33.648404
70000000,240031094,6.6,124,57.69847
80000000,116643346,5.8,117,34.052253
68000000,203388341,6.5,136,27.299301
75000000,42285169,5.3,110,20.219385
70000000,171183863,5.5,101,42.957216
75000000,443140005,5.4,88,29.412262
75000000,114660784,6.7,138,19.708731
70000000,161025640,6.2,120,59.428223
70000000,1.18e+08,6.3,103,19.711951
70000000,202466756,5.5,116,49.199234
70000000,122919055,7.6,125,46.199482
0,0,6,125,13.758526
66000000,177584879,7,146,29.505574
70000000,154984035,5.8,118,43.873266
70000000,90000098,7.1,139,24.961625
70000000,134748021,5.8,133,23.25645
70000000,215529201,6.2,92,64.457947
70000000,116672912,6,116,20.089933
70000000,135560026,7.1,127,48.032734
70000000,131457682,7,136,16.92991
70000000,67112664,5.2,111,14.780634
70000000,65977295,5.4,116,14.086292
60000000,55987321,5,105,29.261348
70000000,33561137,5.2,97,13.267631
70000000,160112671,6.1,88,58.401204
75000000,59418613,6,123,23.515938
70000000,32287044,5.9,125,14.244518
66000000,57777106,6.1,116,29.501489
0,0,3.4,98,9.306253
70000000,19924033,4.3,91,8.37378
70000000,19870567,5.5,97,10.930537
75000000,13596911,5.9,95,10.54544
70000000,18662027,5.9,88,6.682006
70000000,17752940,5.1,133,46.832372
70000000,57958696,5.7,107,24.664776
70000000,38629478,4.6,114,13.483387
50000000,122915111,6.7,115,44.478043
70000000,61279452,4.4,99,25.020428
68000000,1.93e+08,5.9,124,22.392544
68000000,698491347,5.8,124,107.069763
68000000,71069884,6.7,124,22.572323
69000000,543513985,7.1,95,113.858273
60000000,35431113,5.4,103,10.004564
68000000,217022588,6.2,115,68.734513
70000000,39041505,6.9,127,18.888806
68000000,29762011,5.7,121,12.948627
36000000,83160734,5.4,105,27.11589
90000000,60289912,7.3,157,26.153669
80000000,52099090,6.3,114,28.223664
70000000,113280098,6.5,128,37.507136
69000000,86387857,5.5,114,11.023691
69000000,112265139,5.5,94,38.634767
66000000,212404396,6,112,25.877794
66000000,189198313,6.6,121,18.59991
67000000,25303038,5,102,12.282911
70000000,481840909,7.9,169,76.041867
66000000,203277636,6.1,130,54.81489
70000000,374111707,6.1,127,31.39165
59000000,383257136,7.1,81,99.561972
68000000,75715436,5.3,136,26.792794
65000000,275293450,6.7,149,36.307296
63000000,463517383,7.9,136,104.309993
52000000,355237933,7.3,140,68.140214
65000000,172855065,5.5,104,14.646884
61000000,441809770,7.1,157,48.356214
65000000,250821495,6.3,119,28.540267
65000000,128107642,6.5,98,22.977983
95000000,250288523,6.3,136,31.086791
65000000,211780824,6.2,95,43.865294
65000000,163442937,7.3,137,43.055253
65000000,128884132,6.3,130,15.772081
70000000,255000211,6.1,112,26.19909
50000000,150270147,5.7,108,22.769108
65000000,69700000,6,104,18.281798
63000000,162945894,5.9,128,24.697533
65000000,0,6.5,117,19.718544
65000000,179379533,5.9,83,31.349143
65000000,162091208,7.1,159,27.870312
65000000,133821816,6,119,33.439187
50100000,153962963,6.7,105,59.634029
65000000,156974557,5.9,103,38.994297
65000000,128905366,5.7,123,49.660055
4200000,38376497,6.4,114,11.743085
65000000,0,6.1,143,9.110247
65000000,240159255,5.6,95,6.227675
45000000,73762516,6,105,42.57877
65000000,89456761,6.5,120,15.858629
65000000,0,6,135,14.866901
65000000,64321501,6.1,101,15.194239
63000000,100853753,8.3,139,146.757391
65000000,43545364,6.7,124,8.629665
65000000,17218080,5.4,100,16.803457
65000000,0,4.9,105,2.952595
65000000,71154592,5,92,31.324734
50000000,42093706,6.7,130,20.415572
43000000,56681566,4.8,97,28.613892
65000000,39407616,6.3,102,85.428395
64000000,74608570,5.3,133,4.137237
55000000,203427584,6.7,121,60.246978
50000000,132180323,7.1,147,42.551902
63000000,296655431,5.9,94,40.137264
65000000,44091067,6.1,94,24.857079
63000000,920100000,7.6,127,40.413191
63000000,25052000,6.5,191,13.859307
62000000,215887717,6.4,141,18.832471
65000000,121545703,5.9,127,9.568884
64000000,101595121,5.3,98,12.421504
62000000,127666415,6.1,116,18.096884
62000000,107879496,6.5,106,11.056763
62000000,41819064,4.3,87,13.218008
62000000,18720175,5.8,125,11.262655
44000000,155760117,7.6,167,68.717016
53000000,0,5.9,93,19.412028
63000000,183953723,5.5,95,16.791058
65000000,422610419,7,117,65.197968
80000000,516642939,6.1,115,32.829538
60000000,244082376,6.9,115,30.951203
60000000,284600000,8.2,189,103.698022
0,253625427,5.6,100,31.719463
150000000,314432665,5.6,81,47.973995
61000000,369330363,7.9,145,143.041543
60000000,214034224,7.3,119,86.476817
58000000,352194034,6.6,130,59.824565
60000000,149705852,6.1,116,18.345613
60000000,264118201,7.8,103,56.488027
70000000,218613188,6.8,99,29.464852
60000000,164433867,5.6,92,18.106021
61000000,131940411,6.6,109,42.881415
60000000,93375151,5,87,18.735024
60000000,176070171,6.6,110,62.766854
60000000,93354918,5.9,101,24.153567
60000000,171757863,6,83,41.515702
70000000,171844840,5.3,113,26.676487
60000000,157920733,5.9,107,16.278022
60000000,129181830,5.7,94,18.831023
61000000,311256926,6.4,132,113.161483
60000000,204594016,5.8,133,28.800112
60000000,0,6.5,125,19.705489
58000000,71664962,6.6,111,41.430245
55000000,100230832,6.8,163,23.127561
60000000,186883563,6.7,170,12.867352
65000000,217764291,7,120,44.815022
60000000,165333180,5.3,92,37.537093
60000000,74541707,6.2,115,10.99991
60000000,218340595,6.3,130,56.868399
60000000,73648228,5.6,105,22.991269
60000000,0,6.7,111,15.798622
60000000,137551594,6.2,106,38.820858
0,0,4.3,89,10.292864
60000000,124596398,7.3,100,51.146047
60000000,163403799,4.9,91,20.501582
70000000,130293714,7.3,146,45.299089
50000000,61112916,4.5,98,4.280619
60000000,170268750,5.6,101,28.848842
60000000,129832389,5.5,89,22.501041
66000000,99318987,6.5,122,47.479755
70000000,56702901,6.1,115,10.147321
60000000,107139399,6.7,90,39.539045
60000000,159330280,6.1,124,19.747459
60000000,96269812,5.9,119,29.018826
60000000,0,5.9,119,4.801849
60000000,50877145,5.8,93,16.493576
0,0,5.3,98,21.549232
60000000,104324083,5.6,100,13.080725
60000000,50549107,5.9,105,42.538258
60000000,101134059,6.4,124,29.876507
60000000,205754447,5.8,99,61.849521
70000000,1.62e+08,5.9,109,37.44963
