"","budget","revenue","vote_average","runtime","popularity"
"1515",32000000,18552460,6.3,107,16.473355
"1517",32000000,0,6.6,121,15.560918
"1518",32000000,18409891,6.2,111,25.799697
"1520",32000000,0,5.4,110,3.379454
"1522",32000000,3566637,7.1,75,4.098444
"1523",0,0,7.2,132,4.901553
"1524",32000000,5914908,5.9,108,5.347936
"1525",32000000,0,5,93,4.120549
"1545",31000000,15134293,6,105,6.487344
"1563",30,103,6,78,4.590277
"1570",0,0,4.9,87,9.166658
"1576",0,0,5.8,114,7.922716
"1581",0,0,5.5,85,18.568021
"1592",30000000,0,6.6,105,16.52083
"1617",45000000,0,5.1,94,7.185212
"1620",0,0,5.9,111,17.943945
"1621",30000000,14460000,6.8,63,19.143721
"1637",25000000,17193231,5.2,98,2.77255
"1638",0,0,5.4,99,17.834976
"1643",26000000,0,5.5,104,23.227877
"1647",30000000,15368897,5,96,4.352422
"1653",100000000,0,2.9,85,21.677732
"1654",30000000,0,5.7,107,43.882857
"1656",23000000,12,6.1,111,3.362045
"1657",30000000,13521829,4.8,86,10.694417
"1658",30000000,18618284,6.7,108,6.353971
"1660",30000000,8454301,7.2,134,4.952735
"1662",30000000,18195610,5.8,108,8.359599
"1667",0,0,6,108,2.774811
"1668",0,3102550,5.4,80,3.71305
"1671",21000000,480314,5,87,12.790408
"1672",30000000,14711793,7,160,35.53352
"1674",0,0,5.9,91,20.362025
"1675",30000000,0,5.4,92,48.0343
"1676",30000000,2527904,6.4,129,13.268936
"1677",0,0,5.5,93,8.010046
"1679",27000000,0,3,110,6.036684
"1681",30000000,0,6.4,85,2.625594
"1682",30000000,0,6.6,110,2.981047
"1687",29000000,0,5.8,86,10.364582
"1688",0,0,7.2,122,16.87784
"1690",29000000,16930185,5,100,8.93941
"1692",0,0,6.9,157,3.735723
"1693",0,0,6.3,112,4.310168
"1733",28000000,8888143,6,119,4.436792
"1736",28000000,14010832,4.8,98,13.145205
"1737",28000000,7002261,5.8,108,12.921594
"1738",28000000,16374328,5.5,108,28.397048
"1739",28000000,5684789,6.8,134,7.039189
"1740",27000000,17286299,6.2,110,16.785866
"1752",27000000,0,5.6,116,5.576937
"1756",0,0,6.7,117,5.753705
"1761",30000000,15395087,6.3,130,16.698316
"1764",0,0,6.7,110,18.591657
"1765",25000000,11137801,6.7,109,5.650125
"1768",27000000,1.3e+07,5.5,99,8.715822
"1769",0,0,6.8,106,5.737161
"1772",28,14,5.9,93,9.670031
"1775",25000000,6673422,5.2,104,8.31653
"1776",0,0,5.9,120,2.653988
"1804",26000000,0,5.5,101,1.492056
"1805",26000000,0,6,100,4.810621
"1806",0,0,6.5,103,9.317265
"1807",26000000,0,3.9,100,5.644844
"1821",28000000,8555008,5.7,128,20.267062
"1825",0,0,4.7,100,7.336256
"1844",0,0,7,100,5.377155
"1857",35000000,0,5.8,85,5.784661
"1858",0,0,5.6,84,8.255708
"1881",0,0,4.7,83,7.326034
"1896",25000000,1.7e+07,6.9,95,15.960916
"1898",13000000,0,4.6,98,6.337063
"1899",26000000,0,5.4,90,10.006282
"1900",0,0,4.7,107,2.753501
"1901",0,0,5,90,6.718497
"1902",25000000,15431177,6.9,120,7.538513
"1904",8000000,0,5.6,91,13.715715
"1909",0,0,4.4,85,7.321181
"1911",0,14334401,6.3,88,6.309587
"1912",28000000,10126458,4.9,91,8.363702
"1913",25,13,7,145,4.88794
"1915",25000000,0,6.2,116,12.18362
"1917",25000000,13411957,7,107,8.127728
"1920",0,0,5.6,104,11.60921
"1922",28000000,16900000,6.7,132,8.314624
"1925",25000000,10719357,4.6,99,3.888776
"1926",25000000,1.3e+07,6.2,100,7.296459
"1928",25000000,10070000,5.3,105,7.946769
"1929",25000000,10324441,5.5,110,7.473455
"1930",25000000,11772461,6.4,116,5.073536
"1934",0,0,5.5,95,2.083856
"1935",25000000,0,4.8,95,2.909346
"1936",25000000,0,7.3,127,8.450513
"1937",25000000,4064495,5.5,98,8.186936
"1938",0,0,5.1,95,5.079017
"1944",25000000,777423,6.2,117,3.849873
"1945",25000000,2336172,6.6,114,3.593165
"1948",0,0,5.6,88,15.805449
"1950",0,0,6,117,5.000126
"1951",0,0,3.8,82,1.684948
"1955",25000000,3052000,7,128,1.894749
"1956",25000000,0,6.5,100,6.895866
"1959",25000000,8784318,5.5,137,14.613152
"1972",24000000,0,5.9,108,3.572339
"1974",0,0,5.5,88,1.903405
"1975",40000000,0,7.6,127,10.713521
"1976",17000000,16980098,5.5,95,7.701041
"1977",24000000,16290976,5.8,87,6.589193
"1979",24000000,12372410,4.7,107,3.113009
"1980",24000000,8434146,5.7,124,5.566203
"1984",24000000,4562146,4.1,93,2.353441
"1985",28000000,669276,6.8,72,2.439184
"1986",0,0,5.4,120,0.515677
"1997",23000000,0,6,97,7.901891
"2001",23000000,18653615,5.9,114,8.976738
"2005",0,0,6.6,98,6.130231
"2008",23000000,7434726,6.1,98,12.869436
"2010",0,0,6.6,110,8.426589
"2011",11000000,0,5.8,90,11.071522
"2012",23000000,9366227,5.9,86,5.494047
"2036",0,9930095,6,108,10.547959
"2039",0,0,6.3,142,3.70789
"2043",22000000,0,5.3,98,6.404571
"2045",22000000,13555988,6.1,95,4.365196
"2047",22000000,10696210,4.2,104,14.725467
"2048",0,0,3.6,104,0.809588
"2049",0,0,4.9,107,0.816883
"2050",70000000,0,3.8,77,8.792054
"2052",0,0,5.9,114,7.588597
"2054",22000000,17709155,7.2,116,13.960945
"2055",2000000,14400000,5.5,100,16.668854
"2056",0,0,5.9,104,6.847133
"2057",22000000,15447154,6.2,92,48.784734
"2058",22000000,1.2e+07,7.4,121,9.088209
"2060",0,0,6.7,115,4.61335
"2064",21500000,0,7,117,12.819447
"2069",9000000,46,6.9,90,20.410354
"2077",21000000,17762705,5.1,104,4.781538
"2079",21000000,17600000,5.8,120,5.815881
"2080",21000000,10011050,6.5,117,8.982335
"2082",0,0,5.5,102,2.636193
"2083",21000000,970816,6.3,91,13.847872
"2085",15000000,2856712,6.7,97,21.928025
"2105",0,0,6.9,107,23.139971
"2128",0,0,5.9,98,11.349664
"2139",0,0,6.4,124,14.211699
"2150",20000000,0,4.7,87,12.458131
"2151",20000000,0,5.8,101,3.996392
"2157",0,0,5.8,99,5.0348
"2160",20000000,17425000,6,109,17.237143
"2162",0,0,6.5,119,11.360997
"2165",0,0,6.3,105,9.750557
"2170",20000000,0,5.8,108,17.016284
"2175",20000000,2297493,4.9,98,0.173964
"2176",20000000,18432000,6.8,121,14.370111
"2177",20000000,18253415,6.5,114,11.090254
"2180",20000000,17807569,5.6,100,8.244324
"2183",0,0,6.4,68,9.03154
"2184",0,17519169,6.3,103,4.031585
"2186",35000000,0,4.3,88,6.908351
"2189",20000000,16605763,5.8,84,9.149089
"2190",20000000,17432163,5.3,101,5.596835
"2192",20000000,17436509,7,120,10.50098
"2193",20000000,15473333,6.5,199,3.011205
"2195",25000000,14109284,3,87,16.238961
"2197",20000000,13801755,6.5,97,6.397042
"2200",40000000,0,4.8,99,9.842771
"2203",20000000,13391174,6.1,123,3.476925
"2205",20000000,12482775,6,101,14.031377
"2207",0,0,6.4,102,17.98817
"2208",20000000,17280326,5.7,108,15.66135
"2210",0,0,4.5,93,2.645722
"2211",0,0,6.2,102,17.662683
"2212",0,0,6.4,103,2.894154
"2213",20000000,12639297,5.6,115,29.371987
"2214",20000000,10686841,7.3,96,11.352693
"2215",20000000,0,5.4,98,7.553773
"2217",20000000,0,5.6,106,9.927018
"2219",20000000,16974459,6.5,105,12.643703
"2220",21000000,0,6.5,99,15.440465
"2221",0,9109322,1.9,88,5.886228
"2223",20000000,10337477,4.7,84,9.36146
"2227",0,0,3.2,85,1.682839
"2228",20000000,16549477,5.9,110,8.237336
"2229",20000000,7e+06,4.1,83,2.605374
"2230",12000000,15008161,5.3,107,29.072964
"2233",0,0,6.7,160,8.628519
"2234",20000000,6420319,7,106,12.232048
"2236",8700000,7659918,6.8,100,26.093043
"2238",20000000,10442808,3.1,96,9.292987
"2241",20000000,12007070,6.5,125,37.629309
"2242",0,0,6.3,114,2.405911
"2244",20000000,4001121,6.6,135,13.032308
"2245",20000000,16863583,4.8,93,15.131867
"2246",20000000,5530764,6.8,114,10.218307
"2247",21000000,0,7.4,124,12.761176
"2249",0,0,5.7,114,0.49446
"2250",0,0,4.9,124,6.574285
"2251",2000000,5048693,7.1,104,14.617944
"2252",20000000,0,6.8,118,3.102987
"2253",20000000,1675706,3.3,84,5.65327
"2254",20000000,5359645,6.9,107,44.566609
"2255",40000000,7400000,6.5,125,8.978408
"2256",0,0,6,115,10.150993
"2257",0,0,2.2,88,0.28576
"2258",10000000,3727746,5.4,122,11.267676
"2259",20000000,0,6.4,126,9.129808
"2262",20000000,305070,6.2,107,3.581906
"2264",0,0,5.8,118,12.283025
"2265",20000000,4634062,4.5,107,10.617236
"2266",20000000,0,5.5,100,6.377308
"2267",20000000,346594,6,110,3.620537
"2269",0,0,6.6,102,4.127155
"2270",20000000,0,6.3,95,13.118983
"2272",0,0,5,170,0.416179
"2274",20000000,0,6.1,105,7.444189
"2275",20000000,0,5.4,96,33.625477
"2276",27220000,5496951,6.1,105,28.060472
"2278",27000000,0,7.1,150,7.727035
"2288",0,0,6,113,2.242809
"2289",27000000,0,3.9,90,1.224105
"2292",19100000,5728213,6.5,109,10.559414
"2293",0,0,4.6,85,1.916351
"2296",0,0,5.9,110,3.376967
"2297",25000000,8613462,6.5,132,7.436491
"2299",19000000,18755936,6,109,17.952817
"2302",19000000,6928068,6.2,97,11.766564
"2304",19000000,2119994,5.6,93,0.068228
"2305",18000000,0,6.1,116,5.380733
"2310",0,0,5.8,107,1.583918
"2311",18500000,10680275,7.2,118,44.511363
"2322",0,0,6.2,103,14.190837
"2332",0,0,6.4,113,12.309718
"2339",18000000,0,4.9,81,11.238522
"2347",18000000,0,6.7,109,8.321586
"2348",0,0,5.5,107,7.668063
"2351",18000000,17200925,6.8,115,6.961736
"2353",18000000,16702864,4.9,92,4.492859
"2354",18000000,0,7.2,125,5.706767
"2357",18000000,0,5.9,87,13.462544
"2361",18000000,10501938,4.9,90,16.520516
"2362",18000000,8038061,6.9,112,14.916264
"2365",0,0,6.4,104,1.946634
"2366",17000000,6735922,5.8,117,12.313143
"2367",18000000,14110013,6.5,108,3.258422
"2368",0,0,6.7,112,3.659292
"2373",0,0,3.5,99,1.110179
"2374",0,0,7.3,242,9.814785
"2376",18000000,6212282,6.2,112,32.717853
"2377",0,0,6.2,108,8.945081
"2379",15238800,0,7.2,144,17.94739
"2380",0,0,5.3,90,2.525569
"2382",18000000,676698,7,103,10.991281
"2383",18000000,7972967,6.7,93,7.871686
"2384",18000000,382174,4.4,98,6.333869
"2385",18000000,871279,6.7,338,1.138383
"2387",0,0,9.3,121,0.910529
"2389",18000000,0,4.5,92,10.144222
"2390",18000000,1831348,6.7,105,9.244181
"2391",17900000,6948633,5,89,12.752463
"2392",14000000,13551174,6,119,22.748174
"2395",18000000,0,5.7,90,7.922639
"2400",17500000,7018189,5.8,93,7.180403
"2402",0,0,5.4,116,2.64486
"2411",17000000,0,4.7,87,3.56033
"2415",17000000,0,5.2,94,14.18136
"2419",0,0,5.1,98,10.149569
"2425",0,0,6.9,121,10.178917
"2426",17000000,0,4.6,89,4.544216
"2428",0,0,6.3,73,3.09159
"2430",17000000,1e+07,6.3,154,3.321095
"2433",17000000,7314027,4.9,107,7.864011
"2435",0,0,3,94,1.782666
"2436",17000000,9500000,7,122,19.311572
"2437",0,0,5.5,120,2.897449
"2441",17000000,1569918,6.8,98,9.583578
"2442",17000000,3758328,6.1,120,25.112567
"2443",17000000,374743,5.2,144,9.349386
"2444",15000000,0,6.5,80,8.884405
"2445",17000000,8720000,5,91,2.215261
"2447",16500000,0,7,102,20.935169
"2453",16500000,16942795,7,126,12.102725
"2459",0,0,6,106,9.229999
"2464",18500000,6490401,6.4,120,1.884558
"2465",0,0,3.7,80,4.382761
"2467",0,0,4.8,94,6.579017
"2475",25000000,0,6.4,139,6.091033
"2477",0,0,7.2,109,9.423866
"2479",16000000,15427192,5.4,96,3.021835
"2480",16000000,0,7,90,7.612849
"2481",20000000,0,6.9,113,36.764666
"2482",0,0,5.7,99,3.199784
"2483",20000000,13854000,5.3,108,9.455596
"2485",16000000,18564088,6.8,100,19.890428
"2486",16000000,12,4.6,97,0.830596
"2488",0,0,5.5,112,2.25453
"2489",16000000,0,6.4,112,8.711782
"2490",6500000,4217115,6.7,95,5.700333
"2492",16000000,2849142,6.7,113,8.842869
"2494",16000000,5867686,6.2,117,13.832464
"2495",0,0,6.9,135,4.488547
"2497",16000000,14822346,4.7,86,9.400404
"2499",0,0,6.3,96,2.397987
"2501",16000000,0,4.8,93,7.251897
"2503",16000000,0,6.7,110,14.529496
"2504",16000000,3442853,6.4,122,20.59148
"2505",15600000,0,4.2,91,2.244947
"2506",0,0,5.7,115,1.326264
"2507",0,0,5.3,99,0.212108
"2510",15500000,0,6.3,95,17.327279
"2513",0,0,5.8,102,12.335827
"2524",0,0,6,109,12.18838
"2533",18000000,0,7,115,16.418639
"2543",0,0,6.9,118,7.921311
"2549",0,0,4.7,86,7.314796
"2568",0,0,4.3,90,3.890223
"2576",15000000,0,5.2,89,17.141376
"2578",0,0,6.4,90,4.115398
"2582",15000000,17507368,5.5,84,9.378688
"2585",15000000,0,5.3,109,4.302941
"2587",15000000,17080167,5.9,114,11.379652
"2590",0,0,4.6,87,8.710294
"2591",0,0,5.9,85,1.800119
"2593",25000000,15843608,4.4,87,11.782725
"2594",0,0,5.1,121,2.711955
"2597",15000000,1.2e+07,5.9,92,8.113634
"2598",0,0,6.4,97,9.87419
"2599",0,0,5.3,97,2.857936
"2601",15000000,0,6.2,124,6.684096
"2602",0,0,2.9,76,0.722911
"2603",15000000,15608545,5.2,96,17.672021
"2604",15000000,10443316,4.8,93,3.033471
"2605",0,0,5.4,96,3.313257
"2607",15000000,14867514,6,103,10.9071
"2609",15000000,10903846,6.6,116,11.429607
"2611",16000000,18928871,6.7,100,9.717392
"2612",15000000,9902115,5,94,8.074807
"2614",0,0,6.7,97,7.250379
"2615",0,0,4.7,98,0.116873
"2616",0,0,5.5,91,7.712206
"2618",15,0,5.6,95,5.112809
"2619",15000000,8762890,5.6,102,13.832376
"2620",15000000,6405245,5,89,7.446069
"2621",15000000,8138788,6,106,13.568302
"2623",15000000,5217498,4.7,105,0.249245
"2624",15000000,12036149,7,121,12.163832
"2625",0,0,6,120,8.962245
"2626",15000000,15785148,7.2,103,32.690038
"2627",25000000,4152230,6.1,92,8.583217
"2629",0,0,5.4,98,12.295216
"2630",22000000,0,5.8,98,12.4654
"2631",15000000,9455232,6.8,104,30.983397
"2632",0,0,7,276,1.485324
"2633",15000000,5926410,6.5,111,11.428903
"2634",15000000,0,4.8,98,5.484679
"2635",0,0,6.5,111,5.770246
"2637",0,0,5.5,100,2.414721
"2638",0,0,6.6,116,0.470645
"2640",12000000,9584131,6.5,84,17.493735
"2641",8000000,529766,6.7,116,6.932221
"2642",15000000,632542,6.6,105,8.142166
"2643",15000000,0,6.5,98,6.329672
"2644",0,0,7.4,105,7.744166
"2647",15000000,76382,5,93,2.609057
"2648",15000000,3533227,6,98,19.913961
"2649",15000000,0,5.2,107,1.897761
"2650",15000000,0,4.8,90,7.701186
"2651",15000000,23000,6.1,99,1.833058
"2655",7000000,0,5.6,110,49.808505
"2656",0,0,4.8,105,4.901936
"2657",15000000,0,7.3,NA,0.738646
"2658",15000000,0,6.7,119,5.294319
"2664",14500000,0,5.8,98,4.389363
"2671",0,0,5,101,4.289676
"2678",0,0,6.2,111,4.448494
"2680",0,0,5.1,81,4.04701
"2682",0,0,6.4,82,1.446172
"2688",14000000,0,4.4,83,14.813614
"2694",0,0,6.1,155,3.876242
"2695",0,0,6.7,115,1.89218
"2696",11000000,13196245,5,90,4.536745
"2697",11000000,16951798,4.5,91,11.220643
"2699",14000000,10424470,5.3,86,4.66723
"2700",14000000,11417362,5.5,87,7.487843
"2704",14000000,0,6.2,107,6.370267
"2705",0,4291965,6.4,101,4.052219
"2707",14000000,2474000,5.2,139,0.900442
"2708",0,0,6.3,93,8.387573
"2709",0,0,5.8,127,0.633004
"2711",0,0,5.8,104,1.866443
"2714",0,0,6.3,113,8.747922
"2715",14000000,46495,6.1,149,4.898424
"2717",14000000,1755212,7.4,89,24.210698
"2721",14000000,12314651,5,93,16.618874
"2722",13500000,7060876,6.8,124,7.261196
"2727",13300000,5380251,6,108,29.782161
"2741",13000000,0,5.7,88,13.525704
"2742",0,0,5.7,84,12.963328
"2746",13000000,0,7.1,117,2.388918
"2749",12000000,0,5.7,100,4.63093
"2755",6000000,0,6.6,90,2.27213
"2757",13000000,16929123,6.6,99,6.130096
"2759",13000000,11130889,6.2,104,6.764437
"2760",13000000,8026971,5.5,84,1.750054
"2762",0,0,6.5,82,9.066881
"2763",13000000,7820688,6.4,95,6.170139
"2765",0,0,6.6,99,1.212956
"2766",13000000,16757163,5.5,106,11.880899
"2767",0,0,5.1,84,10.131123
"2768",13000000,0,6.1,93,5.831302
"2770",13000000,4857367,6.8,120,10.573191
"2772",13000000,1.8e+07,5.4,107,17.632446
"2773",0,0,6.7,112,1.780065
"2774",15000000,8459458,5.9,96,26.373864
"2775",13000000,9789900,4.8,91,1.647335
"2779",13000000,1151330,6.4,110,3.680896
"2780",0,0,5.6,120,2.996284
"2781",13000000,1784763,4.6,91,10.475368
"2782",14350531,3964682,6.3,88,30.952377
"2783",10000000,303877,5.8,127,4.267466
"2785",0,0,5.8,110,6.116436
"2787",13000000,10652035,6.4,98,19.664699
"2790",0,0,6.9,108,6.796079
"2792",3100000,0,5.9,111,7.453347
"2794",13000000,0,6,109,11.892615
"2795",0,0,6,118,5.69872
"2797",0,0,8.4,101,4.021389
"2798",12000000,11293663,7.1,106,15.817096
"2801",0,0,6.2,132,0.139384
"2802",12500000,1227324,7.3,99,2.950618
"2803",15000000,5024782,5.8,90,7.497306
"2805",12500000,1083683,6,108,6.546037
"2807",0,15,7.4,140,9.572705
"2808",12500000,3878993,6.3,118,0.903529
"2812",12516654,8109160,7.6,78,11.103202
"2822",12000000,0,6.5,81,12.60629
"2845",0,0,6.4,118,6.2464
"2846",0,0,6.6,125,5.315213
"2849",0,51,4.3,86,4.480167
"2851",0,0,6.7,92,7.710797
"2852",12000000,17292381,5.4,86,1.081822
"2858",0,0,6.1,113,14.345428
"2859",12000000,0,6.4,122,6.803763
"2862",12000000,0,4.6,93,3.444542
"2867",12000000,0,6.9,109,13.427427
"2868",0,0,4.9,81,5.359381
"2869",8000000,6739141,5.7,95,8.708229
"2876",12000000,3148182,6.6,110,8.290636
"2877",0,0,6,109,3.603842
"2880",12000000,0,6.9,100,9.164386
"2881",12000000,0,6.5,97,9.779444
"2882",12400000,8371085,7.3,142,32.523573
"2883",0,0,6.4,104,2.24888
"2884",12000000,12077441,6.5,99,27.322212
"2886",12000000,0,6.1,90,3.004432
"2888",12000000,1644755,6.5,111,5.841285
"2890",1200000,0,6.2,86,3.582733
"2892",8000000,0,6.1,90,9.728143
"2894",12000000,0,6.8,120,11.237374
"2895",0,0,6.5,140,1.906807
"2897",0,0,4.8,95,1.416796
"2898",7500000,0,6.7,95,11.636883
"2901",12000000,11212294,6.3,131,5.158067
"2902",20000000,17479,5.8,113,5.727602
"2903",12000000,0,6.9,99,25.496926
"2904",1200000,0,4.3,111,0.489271
"2907",0,0,4.3,89,0.186234
"2909",0,0,7.5,134,2.930853
"2910",11500000,0,5.5,101,4.75919
"2911",0,0,6.3,130,0.753362
"2916",0,0,7.1,112,14.637357
"2917",0,0,6.2,116,21.801188
"2922",12000000,0,3.9,96,3.94487
"2934",11,11,6.4,145,3.375208
"2935",12000000,4884663,5.5,100,4.234269
"2938",24000000,14782676,5.8,89,4.12064
"2939",24000000,13700000,5.7,84,2.259537
"2942",11000000,13110448,7,100,16.003958
"2944",0,0,6.6,118,6.799314
"2948",10000000,4069090,8.2,125,3.208172
"2949",11000000,0,6.8,125,4.131918
"2950",0,0,5.1,91,4.093288
"2954",11000000,2807854,5.1,98,9.705589
"2955",11000000,2200000,5.9,124,1.396985
"2956",0,2945242,6,105,4.056774
"2957",11000000,0,6.2,104,5.062687
"2958",0,0,5.6,111,3.122152
"2960",0,0,7.3,116,0.700127
"2961",11000000,0,5.9,97,31.763201
"2963",7400000,1.7e+07,6.1,193,3.246903
"2964",14000000,18535191,6.3,97,4.519523
"2966",0,0,5.6,102,6.340135
"2969",10000000,17500000,5.8,97,12.792446
"2970",0,0,6.8,97,1.985552
"2971",10500000,123509,8.5,99,0.037073
"2972",0,0,5.2,135,0.12082
"2973",11000000,0,5,110,3.646848
"2974",12000000,9622846,6.4,145,5.759545
"2975",11000000,0,7,105,25.302978
"3006",10000000,0,5.5,98,6.015354
"3022",0,0,5.3,107,4.192064
"3024",9000000,17096053,7.5,93,18.289303
"3027",0,0,6.4,101,6.27141
